time,BL_H,kdown,wind_speed,wind_direction
2016-04-12 00:00:00,23.125,0.0,5.3982058,222.18445
2016-04-12 01:00:00,20.25,0.0,4.8023434,231.3402
2016-04-12 02:00:00,14.375,0.0,5.0574822,230.01312
2016-04-12 03:00:00,1.25,0.0,4.4034786,235.40771
2016-04-12 04:00:00,11.75,0.0,6.0130067,223.3153
2016-04-12 05:00:00,10.75,0.046875,4.451123,231.84277
2016-04-12 06:00:00,12.875,43.203125,4.8023434,231.3402
2016-04-12 07:00:00,30.375,144.29688,4.776243,222.8789
2016-04-12 08:00:00,45.75,334.5,3.6336105,229.18492
2016-04-12 09:00:00,124.5,552.0469,4.3535185,230.82634
2016-04-12 10:00:00,168.5,668.6406,3.905125,230.19443
2016-04-12 11:00:00,211.5,746.7656,4.069705,222.51045
2016-04-12 12:00:00,250.875,765.28125,3.9863048,221.18593
2016-04-12 13:00:00,257.125,730.28125,3.4573293,229.39871
2016-04-12 14:00:00,142.375,576.21875,1.8027756,213.69006
2016-04-12 15:00:00,173.0,354.04688,2.877716,235.61966
2016-04-12 16:00:00,120.5,336.15625,2.9074259,205.46335
2016-04-12 17:00:00,101.125,41.453125,6.0130067,223.3153
2016-04-12 18:00:00,157.75,4.34375,11.490485,261.8699
2016-04-12 19:00:00,52.125,0.0,6.6544156,354.6107
2016-04-12 20:00:00,5.0,0.0,3.988264,32.195724
2016-04-12 21:00:00,1.625,0.0,2.5,126.869896
2016-04-12 22:00:00,4.375,0.0,2.0155644,119.74489
2016-04-12 23:00:00,6.25,0.0,2.5495098,168.69006
2016-04-13 00:00:00,4.625,0.0,3.0872722,111.37062
2016-04-13 01:00:00,6.625,0.0,1.7410486,111.03751
2016-04-13 02:00:00,-2.0,0.0,2.5,216.8699
2016-04-13 03:00:00,-3.25,0.0,3.0,270.0
2016-04-13 04:00:00,-1.875,0.0,2.6487026,250.70996
2016-04-13 05:00:00,-0.5,0.578125,2.5279686,278.53076
2016-04-13 06:00:00,0.875,102.671875,1.3806701,275.19443
2016-04-13 07:00:00,-25.875,265.60938,3.0207615,335.55603
2016-04-13 08:00:00,29.75,409.67188,0.70710677,225.0
2016-04-13 09:00:00,82.25,519.7344,1.5461646,165.96376
2016-04-13 10:00:00,127.0,667.3125,1.6298006,122.47119
2016-04-13 11:00:00,157.625,690.625,1.3975425,116.56505
2016-04-13 12:00:00,162.75,653.90625,0.95197165,203.1986
2016-04-13 13:00:00,214.0,735.9219,1.4630874,250.01689
2016-04-13 14:00:00,215.875,433.14062,2.6010816,234.78241
2016-04-13 15:00:00,169.125,221.90625,3.5377429,237.99461
2016-04-13 16:00:00,257.25,323.07812,8.367534,193.82864
2016-04-13 17:00:00,115.0,175.82812,5.2737556,185.44034
2016-04-13 18:00:00,84.25,19.875,3.893103,222.39743
2016-04-13 19:00:00,210.125,0.0,9.355814,292.7965
2016-04-13 20:00:00,56.75,0.0,6.930458,352.74683
2016-04-13 21:00:00,21.5,0.0,1.3806701,95.19443
2016-04-13 22:00:00,1.25,0.0,2.5739076,119.0546
2016-04-13 23:00:00,7.875,0.0,1.118034,243.43495
2016-04-14 00:00:00,16.875,0.0,2.7414641,133.15239
2016-04-14 01:00:00,11.75,0.0,2.125,151.92752
2016-04-14 02:00:00,4.75,0.0,1.0,180.0
2016-04-14 03:00:00,7.0,0.0,2.9288437,219.80557
2016-04-14 04:00:00,4.5,0.0,2.0501525,232.43141
2016-04-14 05:00:00,6.125,1.15625,1.8200275,254.0546
2016-04-14 06:00:00,1.0,100.203125,1.3462912,201.8014
2016-04-14 07:00:00,10.75,263.35938,0.35355338,225.0
2016-04-14 08:00:00,41.125,371.29688,0.9013878,146.30994
2016-04-14 09:00:00,82.75,400.375,1.1319232,186.3402
2016-04-14 10:00:00,125.875,412.6875,1.6007811,141.3402
2016-04-14 11:00:00,114.125,490.0625,1.9525625,140.19443
2016-04-14 12:00:00,133.875,429.76562,3.3957694,173.6598
2016-04-14 13:00:00,148.0,550.9844,4.7516446,178.49257
2016-04-14 14:00:00,146.25,651.2969,3.4392042,160.90651
2016-04-14 15:00:00,153.625,350.09375,6.26124,206.0535
2016-04-14 16:00:00,112.0,223.8125,5.275237,193.70695
2016-04-14 17:00:00,127.5,167.5,6.2060957,189.2726
2016-04-14 18:00:00,79.25,51.75,4.94501,196.14433
2016-04-14 19:00:00,50.75,0.0,4.609772,192.52881
2016-04-14 20:00:00,57.25,0.0,5.615269,196.82141
2016-04-14 21:00:00,49.375,0.0,4.784415,199.85521
2016-04-14 22:00:00,39.625,0.0,3.907125,187.35239
2016-04-14 23:00:00,27.375,0.0,2.7613401,185.19443
2016-04-15 00:00:00,45.375,0.0,3.0259297,128.29016
2016-04-15 01:00:00,19.25,0.0,1.8582586,222.27368
2016-04-15 02:00:00,35.875,0.0,5.028046,235.12466
2016-04-15 03:00:00,20.0,0.0,5.0574822,230.01312
2016-04-15 04:00:00,12.25,0.0,3.466356,244.359
2016-04-15 05:00:00,13.0,0.390625,3.5377429,237.99461
2016-04-15 06:00:00,16.875,15.53125,3.5399506,227.8624
2016-04-15 07:00:00,9.75,72.0625,1.0307764,255.96376
2016-04-15 08:00:00,27.375,131.60938,1.5206907,189.46233
2016-04-15 09:00:00,15.875,164.375,1.3520818,123.69006
2016-04-15 10:00:00,75.875,13.625,10.465718,172.45058
2016-04-15 11:00:00,71.875,322.17188,1.9764235,161.56505
2016-04-15 12:00:00,65.125,133.84375,2.0194368,158.1986
2016-04-15 13:00:00,22.5,142.10938,2.6010816,215.21759
2016-04-15 14:00:00,43.125,71.234375,4.1551924,195.70863
2016-04-15 15:00:00,38.0,54.921875,4.776243,186.009
2016-04-15 16:00:00,44.375,160.79688,4.1907635,197.35402
2016-04-15 17:00:00,24.875,19.15625,2.6838639,242.24146
2016-04-15 18:00:00,7.875,5.75,3.4323826,349.50854
2016-04-15 19:00:00,24.5,0.0,7.1074343,325.75098
2016-04-15 20:00:00,15.75,0.0,6.578849,321.17017
2016-04-15 21:00:00,38.25,0.0,6.6049223,299.4759
2016-04-15 22:00:00,24.75,0.0,6.425049,307.09283
2016-04-15 23:00:00,15.125,0.0,5.927953,294.9439
2016-04-16 00:00:00,54.375,0.0,7.8997626,274.53778
2016-04-16 01:00:00,50.125,0.0,7.0544753,299.74487
2016-04-16 02:00:00,45.875,0.0,5.5368085,298.30078
2016-04-16 03:00:00,36.875,0.0,5.9908786,293.35556
2016-04-16 04:00:00,19.25,0.0,6.0634665,278.29715
2016-04-16 05:00:00,25.75,1.640625,4.550069,285.9454
2016-04-16 06:00:00,30.875,27.171875,4.515598,318.36646
2016-04-16 07:00:00,63.0,99.765625,5.4886246,329.93143
2016-04-16 08:00:00,88.375,45.171875,5.762215,335.6589
2016-04-16 09:00:00,158.75,114.484375,7.612695,330.48853
2016-04-16 10:00:00,125.875,256.125,7.212186,334.32318
2016-04-16 11:00:00,136.875,269.46875,7.1730833,337.45694
2016-04-16 12:00:00,139.625,237.35938,7.6290975,341.86194
2016-04-16 13:00:00,100.0,129.29688,6.847673,338.58704
2016-04-16 14:00:00,110.625,193.9375,7.2219286,336.541
2016-04-16 15:00:00,92.5,262.42188,5.533986,341.56506
2016-04-16 16:00:00,96.125,297.51562,4.069705,349.38034
2016-04-16 17:00:00,45.625,55.109375,3.5816371,330.75116
2016-04-16 18:00:00,121.125,49.671875,7.3961563,30.465546
2016-04-16 19:00:00,46.375,0.0,4.9623585,319.08563
2016-04-16 20:00:00,3.625,0.0,4.4668922,342.07208
2016-04-16 21:00:00,18.25,0.0,4.4668922,342.07208
2016-04-16 22:00:00,39.75,0.0,5.783868,353.79657
2016-04-16 23:00:00,11.25,0.0,5.162969,353.04706
2016-04-17 00:00:00,1.25,0.0,4.069705,317.48956
2016-04-17 01:00:00,-2.0,0.0,3.6055512,326.30994
2016-04-17 02:00:00,-6.75,0.0,4.100305,322.4314
2016-04-17 03:00:00,-3.0,0.0,4.3391385,318.50354
2016-04-17 04:00:00,-3.375,0.0,4.246322,317.38596
2016-04-17 05:00:00,7.0,5.125,3.826307,308.3675
2016-04-17 06:00:00,7.25,124.703125,3.0872722,301.75946
2016-04-17 07:00:00,33.875,293.5,2.183031,293.6294
2016-04-17 08:00:00,76.75,462.375,2.1286733,266.63354
2016-04-17 09:00:00,133.75,611.3281,2.6516504,278.1301
2016-04-17 10:00:00,202.875,717.34375,3.0872722,291.3706
2016-04-17 11:00:00,240.0,743.4531,3.1868873,295.55997
2016-04-17 12:00:00,268.875,781.875,3.411836,298.44293
2016-04-17 13:00:00,279.375,740.3594,4.0562453,326.30994
2016-04-17 14:00:00,182.5,525.90625,1.6007811,321.3402
2016-04-17 15:00:00,174.25,370.875,2.6279745,295.3462
2016-04-17 16:00:00,142.5,169.8125,3.644345,292.16635
2016-04-17 17:00:00,124.125,177.8125,3.6055512,303.69006
2016-04-17 18:00:00,97.5,49.828125,5.8696785,296.56506
2016-04-17 19:00:00,34.125,0.0,4.550069,290.9245
2016-04-17 20:00:00,7.625,0.0,3.7165172,289.6538
2016-04-17 21:00:00,10.5,0.0,4.1627064,221.34778
2016-04-17 22:00:00,7.5,0.0,4.310235,240.46121
2016-04-17 23:00:00,-0.5,0.0,3.75,270.0
2016-05-13 00:00:00,81.5,0.0,8.143249,17.878693
2016-05-13 01:00:00,68.0,0.0,8.814938,18.178024
2016-05-13 02:00:00,48.125,0.0,9.308095,14.782715
2016-05-13 03:00:00,43.625,0.0,8.776745,17.402695
2016-05-13 04:00:00,42.0,0.0,9.135268,16.69925
2016-05-13 05:00:00,41.0,65.0625,8.97305,18.687347
2016-05-13 06:00:00,61.375,204.1875,8.948638,24.775131
2016-05-13 07:00:00,84.25,390.59375,9.848858,23.962479
2016-05-13 08:00:00,138.25,549.7969,9.228014,24.829346
2016-05-13 09:00:00,200.375,692.3281,9.335752,26.22197
2016-05-13 10:00:00,250.0,793.1094,8.575036,30.677277
2016-05-13 11:00:00,300.5,851.46875,8.341351,29.638382
2016-05-13 12:00:00,333.25,861.1875,8.360995,31.551376
2016-05-13 13:00:00,342.375,823.5,8.079681,34.919403
2016-05-13 14:00:00,368.625,705.4375,8.790976,29.845932
2016-05-13 15:00:00,374.125,571.1875,9.503289,26.565048
2016-05-13 16:00:00,383.125,440.54688,10.476909,19.51587
2016-05-13 17:00:00,344.0,284.29688,10.440307,16.69925
2016-05-13 18:00:00,296.0,86.6875,10.405077,16.039948
2016-05-13 19:00:00,231.75,14.1875,9.724325,17.969147
2016-05-13 20:00:00,172.125,0.0,8.814938,18.178024
2016-05-13 21:00:00,152.25,0.0,8.661156,20.265701
