Year,DOY,pair,rad_site
2016,103,BCT_IMU,KSSW
2016,104,BCT_IMU,KSSW
2016,105,BCT_IMU,KSSW
2016,106,BCT_IMU,KSSW
2016,107,BCT_IMU,KSSW
2016,108,BCT_IMU,KSSW
2016,134,BCT_IMU,KSSW
2016,135,BCT_IMU,KSSW
2016,136,BCT_IMU,KSSW
2016,137,BCT_IMU,KSSW
2016,138,BCT_IMU,KSSW
2016,139,BCT_IMU,KSSW
2016,143,BCT_IMU,KSSW
2016,144,BCT_IMU,KSSW
2016,145,BCT_IMU,KSSW
2016,146,BCT_IMU,KSSW
2016,147,BCT_IMU,KSSW
2016,148,BCT_IMU,KSSW
2016,149,BCT_IMU,KSSW
2016,150,BCT_IMU,KSSW
2016,176,BCT_IMU,KSSW
2016,177,BCT_IMU,KSSW
2016,178,BCT_IMU,KSSW
2016,179,BCT_IMU,KSSW
2016,180,BCT_IMU,KSSW
2016,181,BCT_IMU,KSSW
2016,182,BCT_IMU,KSSW
2016,183,BCT_IMU,KSSW
2016,184,BCT_IMU,KSSW
2016,185,BCT_IMU,KSSW
2016,186,BCT_IMU,KSSW
2016,187,BCT_IMU,KSSW
2016,188,BCT_IMU,KSSW
2016,189,BCT_IMU,KSSW
2016,190,BCT_IMU,KSSW
2016,191,BCT_IMU,KSSW
2016,192,BCT_IMU,KSSW
2016,194,BCT_IMU,KSSW
2016,195,BCT_IMU,KSSW
2016,196,BCT_IMU,KSSW
2016,197,BCT_IMU,KSSW
2016,198,BCT_IMU,KSSW
2016,199,BCT_IMU,KSSW
2016,265,BCT_IMU,KSSW
2016,266,BCT_IMU,KSSW
2016,267,BCT_IMU,KSSW
2016,268,BCT_IMU,KSSW
2016,269,BCT_IMU,KSSW
2016,270,BCT_IMU,KSSW
2016,273,BCT_IMU,KSSW
2016,274,BCT_IMU,KSSW
2016,275,BCT_IMU,KSSW
2016,276,BCT_IMU,KSSW
2016,277,BCT_IMU,KSSW
2017,54,BCT_IMU,KSSW
2017,55,BCT_IMU,KSSW
2017,56,BCT_IMU,KSSW
2017,57,BCT_IMU,KSSW
2017,58,BCT_IMU,KSSW
2017,248,BCT_IMU,BTT
2017,249,BCT_IMU,BTT
2017,250,BCT_IMU,BTT
2017,251,BCT_IMU,BTT
2017,252,BCT_IMU,BTT
2017,253,BCT_IMU,BTT
2017,254,BCT_IMU,BTT
2017,258,BCT_IMU,BTT
2017,259,BCT_IMU,BTT
2017,260,BCT_IMU,BTT
2017,261,BCT_IMU,BTT
2017,262,BCT_IMU,BTT
2018,52,BCT_IMU,BTT
2018,53,BCT_IMU,BTT
2018,54,BCT_IMU,BTT
2018,55,BCT_IMU,BTT
2018,56,BCT_IMU,BTT
2018,57,BCT_IMU,BTT
2018,58,BCT_IMU,BTT
2018,121,BCT_IMU,BTT
2018,122,BCT_IMU,BTT
2018,123,BCT_IMU,BTT
2018,124,BCT_IMU,BTT
2018,125,BCT_IMU,BTT
2018,126,BCT_IMU,BTT
2018,127,BCT_IMU,BTT
2018,128,BCT_IMU,BTT
2018,129,BCT_IMU,BTT
2018,130,BCT_IMU,BTT
2018,160,BCT_IMU,BTT
2018,161,BCT_IMU,BTT
2018,162,BCT_IMU,BTT
2018,163,BCT_IMU,BTT
2018,164,BCT_IMU,BTT
2018,165,BCT_IMU,BTT
2018,166,BCT_IMU,BTT
2018,167,BCT_IMU,BTT
2018,168,BCT_IMU,BTT
2018,169,BCT_IMU,BTT
2018,170,BCT_IMU,BTT
2018,171,BCT_IMU,BTT
2018,172,BCT_IMU,BTT
2018,179,BCT_IMU,BTT
2018,180,BCT_IMU,BTT
2018,181,BCT_IMU,BTT
2018,182,BCT_IMU,BTT
2018,183,BCT_IMU,BTT
2018,184,BCT_IMU,BTT
2018,185,BCT_IMU,BTT
2018,186,BCT_IMU,BTT
