year,DOY,P11,P12,P13,P15,,DOY -1
2016,103,1,1,1,0,,102
2016,104,1,1,1,0,,103
2016,105,1,1,1,0,,104
2016,106,0,1,1,0,,105
2016,107,1,1,1,0,,106
2016,108,1,1,1,0,,107
2016,134,1,1,1,0,,133
2016,135,1,1,1,0,,134
2016,136,1,1,1,0,,135
2016,137,1,1,1,0,,136
2016,138,1,1,1,0,,137
2016,139,1,1,1,0,,138
2016,143,1,1,1,0,,142
2016,144,1,1,1,0,,143
2016,145,1,1,1,0,,144
2016,146,1,1,1,0,,145
2016,147,1,1,1,0,,146
2016,148,1,1,1,0,,147
2016,149,1,1,1,0,,148
2016,150,1,1,1,0,,149
2016,176,1,1,1,0,,175
2016,177,1,1,1,0,,176
2016,178,1,1,1,0,,177
2016,179,1,1,1,0,,178
2016,180,1,1,1,0,,179
2016,181,1,1,1,0,,180
2016,182,1,1,1,0,,181
2016,183,1,1,1,0,,182
2016,184,1,1,1,0,,183
2016,185,1,1,1,0,,184
2016,186,1,1,1,0,,185
2016,187,1,1,1,0,,186
2016,188,1,1,1,0,,187
2016,189,1,1,1,0,,188
2016,190,1,1,1,0,,189
2016,191,1,1,1,0,,190
2016,192,1,1,1,0,,191
2016,194,1,1,1,0,,193
2016,195,1,1,1,0,,194
2016,196,1,1,1,0,,195
2016,197,1,1,1,0,,196
2016,198,1,1,1,0,,197
2016,199,1,1,1,0,,198
2016,265,1,1,0,0,,264
2016,266,0,1,0,0,,265
2016,267,1,1,0,0,,266
2016,268,1,1,0,0,,267
2016,269,1,1,0,0,,268
2016,270,1,1,0,0,,269
2016,273,1,1,0,0,,272
2016,274,1,1,0,0,,273
2016,275,1,1,0,0,,274
2016,276,1,1,0,0,,275
2016,277,1,1,0,0,,276
2017,54,1,1,0,0,,53
2017,55,1,1,0,0,,54
2017,56,1,1,0,0,,55
2017,57,1,1,0,0,,56
2017,58,1,1,0,0,,57
2017,248,0,1,0,0,,247
2017,249,0,1,0,0,,248
2017,250,0,1,0,0,,249
2017,251,0,1,0,0,,250
2017,252,0,1,0,0,,251
2017,253,0,1,0,0,,252
2017,254,0,1,0,0,,253
2017,258,0,1,0,0,,257
2017,259,0,1,0,0,,258
2017,260,0,1,0,0,,259
2017,261,0,1,0,0,,260
2017,262,0,1,0,0,,261
2018,52,0,1,0,0,,51
2018,53,0,1,0,0,,52
2018,54,0,1,0,0,,53
2018,55,0,1,0,0,,54
2018,56,0,1,0,0,,55
2018,57,0,1,0,0,,56
2018,58,0,1,0,0,,57
2018,121,0,1,0,0,,120
2018,122,0,1,0,0,,121
2018,123,0,1,0,0,,122
2018,124,0,1,0,1,,123
2018,125,0,1,0,1,,124
2018,126,0,1,0,1,,125
2018,127,0,1,0,1,,126
2018,128,0,1,0,1,,127
2018,129,0,1,0,1,,128
2018,130,0,1,0,1,,129
2018,160,0,1,0,1,,159
2018,161,0,1,0,1,,160
2018,162,0,1,0,1,,161
2018,163,0,1,0,1,,162
2018,164,0,1,0,1,,163
2018,165,0,1,0,1,,164
2018,166,0,1,0,1,,165
2018,167,0,1,0,1,,166
2018,168,0,1,0,1,,167
2018,169,0,1,0,1,,168
2018,170,0,1,0,1,,169
2018,171,0,1,0,1,,170
2018,172,0,1,0,1,,171
2018,179,0,1,0,1,,178
2018,180,0,1,0,1,,179
2018,181,0,1,0,1,,180
2018,182,0,1,0,1,,181
2018,183,0,1,0,1,,182
2018,184,0,1,0,1,,183
2018,185,0,1,0,1,,184
2018,186,0,1,0,1,,185
